StockCode,Description,UnitPrice,Nouns,Category,PriceSegment
10002,INFLATABLE POLITICAL GLOBE,0.85,"['political', 'globe']",Educational Supplies,Budget
10080,GROOVY CACTUS INFLATABLE,0.39,"['groovy', 'cactus', 'inflatable']",Other,Budget
10120,DOGGY RUBBER,0.21,"['doggy', 'rubber']",Toys,Budget
10123C,HEARTS WRAPPING TAPE,0.65,"['hearts', 'wrapping', 'tape']",Stationery,Budget
10124A,SPOTS ON RED BOOKCOVER TAPE,0.42,"['spots', 'red', 'bookcover', 'tape']",Stationery,Budget
10124G,ARMY CAMO BOOKCOVER TAPE,0.42,"['army', 'camo', 'bookcover', 'tape']",Stationery,Budget
10125,MINI FUNKY DESIGN TAPES,0.85,"['mini', 'funky', 'design', 'tape']",Stationery,Budget
10133,COLOURING PENCILS BROWN TUBE,0.42,"['pencils', 'brown', 'tube']",Stationery,Budget
10135,COLOURING PENCILS BROWN TUBE,1.25,"['pencils', 'brown', 'tube']",Stationery,Standard
11001,ASSTD DESIGN RACING CAR PEN,1.69,"['asstd', 'design', 'racing', 'car', 'pen']",Stationery,Standard
15030,FAN BLACK FRAME,0.29,"['fan', 'black', 'frame']",Home Decor,Budget
15034,PAPER POCKET TRAVELING FAN,0.14,"['paper', 'pocket', 'fan']",Stationery,Budget
15036,ASSORTED COLOURS SILK FAN,0.83,"['assorted', 'colours', 'fan']",Other,Budget
15039,SANDALWOOD FAN,0.85,"['sandalwood', 'fan']",Other,Budget
15044A,PINK PAPER PARASOL,2.95,"['pink', 'paper', 'parasol']",Stationery,Premium
15044B,BLUE PAPER PARASOL,2.95,"['blue', 'paper', 'parasol']",Stationery,Premium
15044C,PURPLE PAPER PARASOL,2.95,"['paper', 'parasol']",Stationery,Premium
15044D,RED PAPER PARASOL,2.95,"['paper', 'parasol']",Stationery,Premium
15056BL,EDWARDIAN PARASOL BLACK,5.95,"['edwardian', 'parasol', 'black']",Other,Luxury
15056N,EDWARDIAN PARASOL NATURAL,5.95,"['edwardian', 'parasol', 'natural']",Other,Luxury
15056P,EDWARDIAN PARASOL PINK,5.95,"['edwardian', 'parasol', 'pink']",Other,Luxury
15058A,BLUE POLKADOT GARDEN PARASOL,7.95,"['garden', 'parasol']",Garden,Luxury
15058B,PINK POLKADOT GARDEN PARASOL,7.95,"['garden', 'parasol']",Garden,Luxury
15058C,ICE CREAM DESIGN GARDEN PARASOL,7.95,"['ice', 'cream', 'design', 'garden', 'parasol']",Home Decor,Luxury
15060B,FAIRY CAKE DESIGN UMBRELLA,3.75,"['fairy', 'cake', 'design', 'umbrella']",Home Decor,Premium
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.12,"['small', 'folding', 'edge']",Other,Budget
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.12,"['camping', 'scissor', 'w', 'knif', 's']",Other,Budget
16011,ANIMAL STICKERS,0.21,"['animal', 'sticker']",Stationery,Budget
16012,FOOD/DRINK SPONGE STICKERS,0.21,"['food', 'drink', 'sponge', 'sticker']",Stationery,Budget
16014,SMALL CHINESE STYLE SCISSOR,0.42,"['small', 'chinese', 'style']",Other,Budget
16015,MEDIUM CHINESE STYLE SCISSOR,0.5,"['medium', 'chinese', 'style']",Other,Budget
16016,LARGE CHINESE STYLE SCISSOR,0.85,['style'],Other,Budget
16020C,CLEAR STATIONERY BOX SET,0.85,"['clear', 'stationery', 'box', 'set']",Other,Budget
16033,MINI HIGHLIGHTER PENS,0.12,"['mini', 'pen']",Stationery,Budget
16043,POP ART PUSH DOWN RUBBER,0.12,"['pop', 'art', 'rubber']",Toys,Budget
16045,POPART WOODEN PENCILS ASST,0.04,"['popart', 'pencils', 'asst']",Stationery,Budget
16046,TEATIME PEN CASE & PENS,0.85,"['teatime', 'pen', 'case']",Stationery,Budget
16048,TEATIME ROUND PENCIL SHARPENER,0.12,"['teatime', 'round', 'pencil', 'sharpener']",Stationery,Budget
16049,TEATIME GEL PENS ASST,0.12,"['teatime', 'gel', 'pens', 'asst']",Stationery,Budget
16052,TEATIME PUSH DOWN RUBBER,0.305,"['teatime', 'rubber']",Toys,Budget
16054,POPART RECT PENCIL SHARPENER ASST,0.12,"['popart', 'rect', 'pencil', 'sharpener', 'asst']",Stationery,Budget
16151A,FLOWERS HANDBAG blue and orange,1.25,"['flower', 'handbag']",Garden,Standard
16156L,"WRAP, CAROUSEL",0.42,"['wrap', 'carousel']",Toys,Budget
16156S,WRAP PINK FAIRY CAKES,0.42,"['wrap', 'pink', 'fairy', 'cakes']",Food,Budget
16161G,WRAP BAD HAIR DAY,0.1,"['wrap', 'bad', 'hair', 'day']",Other,Budget
16161M,WRAP  PINK FLOCK,0.42,"['wrap', 'pink', 'flock']",Other,Budget
16161P,WRAP ENGLISH ROSE,0.42,"['wrap', 'english', 'rose']",Other,Budget
16161U,WRAP SUKI AND FRIENDS,0.42,"['wrap', 'suki', 'friend']",Other,Budget
16162L,THE KING GIFT BAG,0.65,"['king', 'gift', 'bag']",Bags,Budget
16162M,THE KING GIFT BAG 25x24x12cm,0.42,"['king', 'gift', 'bag', 'cm']",Bags,Budget
16168M,FUNKY MONKEY GIFT BAG MEDIUM,0.42,"['funky', 'monkey', 'gift', 'bag', 'medium']",Bags,Budget
16169E,WRAP 50'S  CHRISTMAS,0.42,"['wrap', 'christmas']",Christmas,Budget
16169K,WRAP FOLK ART,0.42,"['wrap', 'art']",Other,Budget
16169M,WRAP DAISY CARPET,0.42,"['wrap', 'daisy']",Toys,Budget
16169N,WRAP BLUE RUSSIAN FOLKART,0.42,"['wrap', 'blue', 'folkart']",Other,Budget
16169P,WRAP GREEN RUSSIAN FOLKART,0.42,"['wrap', 'folkart']",Other,Budget
16202A,PASTEL PINK PHOTO ALBUM,0.5,"['pastel', 'pink', 'photo', 'album']",Other,Budget
16202B,PASTEL BLUE PHOTO ALBUM,0.5,"['pastel', 'blue', 'photo', 'album']",Other,Budget
16202E,BLACK PHOTO ALBUM,0.5,"['black', 'photo', 'album']",Other,Budget
16206B,RED PURSE WITH PINK HEART,1.25,"['purse', 'heart']",Home Decor,Standard
16207A,PINK STRAWBERRY HANDBAG,2.95,"['pink', 'handbag']",Bags,Premium
